ensemble_name,measure_name,mean_acc,Context 1,Context 2,Context 3,Context 4,Context 5
probabilistic_better-accuracy_score-num_gurus-1,experience_train_acc-mean,0.8426 (0.0378),0.9965 (0.0006),0.7945 (0.0473),0.8252 (0.0215),0.8335 (0.0422),0.7633 (0.0772)
probabilistic_weighted-balanced_accuracy_score-num_gurus-1,experience_train_acc-mean,0.8415 (0.0411),0.9965 (0.0005),0.8063 (0.0394),0.8234 (0.0243),0.8252 (0.0578),0.7559 (0.0837)
StudentExpert-num_gurus_train-2-num_gurus_test-4,experience_train_acc-mean,0.8408 (0.0243),0.9958 (0.001),0.7934 (0.0282),0.82 (0.0238),0.832 (0.0291),0.7629 (0.0395)
probabilistic_weighted-accuracy_score-num_gurus-1,experience_train_acc-mean,0.8402 (0.045),0.9964 (0.0007),0.7906 (0.0565),0.8202 (0.0411),0.8245 (0.0441),0.7693 (0.0827)
max_diversity-f1_score-num_gurus-3,experience_train_acc-mean,0.8395 (0.0284),0.9966 (0.0004),0.7865 (0.026),0.8212 (0.0318),0.8474 (0.0404),0.7459 (0.0434)
probabilistic_better-f1_score-num_gurus-1,experience_train_acc-mean,0.8388 (0.045),0.9967 (0.0004),0.7908 (0.0489),0.8126 (0.0409),0.8255 (0.0522),0.7685 (0.0824)
max_diversity-balanced_accuracy_score-num_gurus-3,experience_train_acc-mean,0.8384 (0.0268),0.9967 (0.0004),0.7843 (0.0321),0.825 (0.0231),0.833 (0.0413),0.7528 (0.0372)
max_diversity-accuracy_score-num_gurus-3,experience_train_acc-mean,0.8367 (0.028),0.9966 (0.0004),0.7828 (0.0312),0.8248 (0.0289),0.84 (0.0414),0.7395 (0.038)
probabilistic_weighted-f1_score-num_gurus-1,experience_train_acc-mean,0.8355 (0.0419),0.9966 (0.0004),0.7935 (0.0468),0.8202 (0.0229),0.82 (0.0484),0.7473 (0.0908)
full-ensemble,experience_train_acc-mean,0.8341 (0.0144),0.9968 (0.0004),0.8681 (0.0073),0.7781 (0.0165),0.807 (0.0168),0.7206 (0.0312)
StudentExpert-num_gurus_train-1-num_gurus_test-3,experience_train_acc-mean,0.8335 (0.0417),0.9944 (0.0024),0.7764 (0.0475),0.8098 (0.0264),0.8375 (0.053),0.7496 (0.0792)
max_diversity-f1_score-num_gurus-2,experience_train_acc-mean,0.8308 (0.0394),0.9965 (0.0005),0.7687 (0.042),0.8203 (0.0317),0.8333 (0.0561),0.735 (0.0666)
max_diversity-accuracy_score-num_gurus-2,experience_train_acc-mean,0.8295 (0.0353),0.9966 (0.0005),0.7592 (0.0373),0.8164 (0.0333),0.8327 (0.0409),0.7426 (0.0645)
max_diversity-f1_score-num_gurus-4,experience_train_acc-mean,0.8282 (0.0244),0.9967 (0.0003),0.8052 (0.0236),0.8025 (0.0288),0.8151 (0.0291),0.7213 (0.04)
max_diversity-balanced_accuracy_score-num_gurus-2,experience_train_acc-mean,0.8278 (0.041),0.9967 (0.0004),0.7606 (0.0491),0.8096 (0.0285),0.8427 (0.0504),0.7292 (0.0767)
max_diversity-balanced_accuracy_score-num_gurus-4,experience_train_acc-mean,0.8273 (0.0271),0.9966 (0.0006),0.8031 (0.0278),0.8097 (0.0344),0.8122 (0.0295),0.7151 (0.0431)
max_diversity-accuracy_score-num_gurus-4,experience_train_acc-mean,0.8256 (0.0263),0.9966 (0.0007),0.7981 (0.0308),0.8033 (0.0329),0.8141 (0.0299),0.7159 (0.0374)
random_better-accuracy_score-num_gurus-1,experience_train_acc-mean,0.8251 (0.0477),0.9965 (0.0004),0.7841 (0.0491),0.7967 (0.0381),0.7832 (0.0788),0.7648 (0.0723)
random_better-balanced_accuracy_score-num_gurus-1,experience_train_acc-mean,0.8146 (0.0488),0.9966 (0.0004),0.7818 (0.0522),0.7844 (0.0413),0.7634 (0.0711),0.7469 (0.0791)
random_better-f1_score-num_gurus-1,experience_train_acc-mean,0.8145 (0.0468),0.9965 (0.0006),0.7772 (0.0448),0.7941 (0.0374),0.7707 (0.0732),0.7341 (0.0781)
max_diversity-f1_score-num_gurus-1,experience_train_acc-mean,0.8117 (0.0505),0.9965 (0.0007),0.771 (0.045),0.7891 (0.0458),0.7573 (0.0744),0.7448 (0.0867)
max_diversity-accuracy_score-num_gurus-1,experience_train_acc-mean,0.8105 (0.0472),0.9966 (0.0003),0.7667 (0.0455),0.7894 (0.0411),0.7573 (0.0776),0.7424 (0.0715)
StudentExpert-num_gurus_train-1-num_gurus_test-4,experience_train_acc-mean,0.8084 (0.0508),0.9954 (0.0016),0.7262 (0.0585),0.7942 (0.0449),0.8152 (0.0495),0.7111 (0.0993)
max_diversity-balanced_accuracy_score-num_gurus-1,experience_train_acc-mean,0.8035 (0.0509),0.9965 (0.0008),0.7652 (0.0463),0.7881 (0.0557),0.7595 (0.0635),0.7082 (0.088)
CWR,experience_train_acc-mean,0.6666 (0.0338),0.925 (0.025),0.5914 (0.0386),0.6226 (0.0425),0.6332 (0.0293),0.5608 (0.0338)
Replay,experience_train_acc-mean,0.6111 (0.0572),0.9349 (0.0405),0.7307 (0.0588),0.5764 (0.0663),0.4622 (0.0743),0.3512 (0.046)
RWalk,experience_train_acc-mean,0.6029 (0.1101),0.9437 (0.0384),0.5562 (0.1212),0.5039 (0.1145),0.5464 (0.1319),0.4643 (0.1443)
MAS,experience_train_acc-mean,0.5585 (0.1185),0.9381 (0.0335),0.3083 (0.1581),0.4 (0.1593),0.5932 (0.12),0.5531 (0.1214)
TrainGeneratorAfterExp,experience_train_acc-mean,0.4771 (0.1077),0.9422 (0.0316),0.5541 (0.1049),0.4351 (0.1274),0.312 (0.1541),0.1423 (0.1207)
EWC,experience_train_acc-mean,0.4742 (0.1104),0.9238 (0.0455),0.5466 (0.1127),0.4142 (0.1381),0.3378 (0.132),0.1484 (0.1239)
SynapticIntelligence,experience_train_acc-mean,0.4597 (0.1215),0.9218 (0.0415),0.5375 (0.1237),0.3867 (0.1446),0.3164 (0.1708),0.1362 (0.127)
LwF,experience_train_acc-mean,0.4499 (0.1045),0.9319 (0.0379),0.5782 (0.1063),0.3842 (0.1411),0.2704 (0.1264),0.0848 (0.1107)
AGEM,experience_train_acc-mean,0.4025 (0.0954),0.9347 (0.0358),0.4964 (0.1036),0.3549 (0.149),0.1917 (0.1304),0.0347 (0.0583)
GEM,experience_train_acc-mean,0.3578 (0.0832),0.9347 (0.035),0.4823 (0.1162),0.2748 (0.1458),0.095 (0.1105),0.0023 (0.0086)
MIR,experience_train_acc-mean,0.3481 (0.0665),0.9321 (0.0443),0.5363 (0.1092),0.2063 (0.1091),0.0657 (0.0697),0.0 (0.0)
LFL,experience_train_acc-mean,0.1625 (0.1489),0.4026 (0.1433),0.0889 (0.1398),0.1015 (0.1382),0.1226 (0.1531),0.0969 (0.1699)
GDumb,experience_train_acc-mean,0.1365 (0.0914),0.2054 (0.2001),0.1393 (0.0991),0.119 (0.0728),0.1098 (0.055),0.109 (0.0298)
CoPE,experience_train_acc-mean,0.1077 (0.1589),0.1336 (0.1863),0.0885 (0.1274),0.0816 (0.1255),0.1156 (0.1984),0.119 (0.1568)
